id,ime,prezime,pozicija,broj_dresa,godine,visina,tezina,drzava,godina_pridruzivanja,klub,godina_pocetka,godina_zavrsetka
1,Mohamed,Salah,Napadač,11,32,175,71,Egipat,2017,Chelsea,2014,2016
1,Mohamed,Salah,Napadač,11,32,175,71,Egipat,2017,AS Roma,2016,2017
2,Virgil,van Dijk,Branič,4,33,193,92,Nizozemska,2018,Groningen,2011,2013
2,Virgil,van Dijk,Branič,4,33,193,92,Nizozemska,2018,Celtic,2013,2015
2,Virgil,van Dijk,Branič,4,33,193,92,Nizozemska,2018,Southampton,2015,2018
3,Luis,Díaz,Napadač,7,27,175,70,Kolumbija,2022,FC Porto,2020,2022
4,Diogo,Jota,Napadač,20,27,178,76,Portugal,2020,Wolverhampton,2018,2020
5,Cody,Gakpo,Napadač,18,25,186,80,Nizozemska,2023,PSV Eindhoven,2016,2023
6,Alisson,Becker,Golman,1,32,193,92,Brazil,2018,AS Roma,2016,2018
8,Andrew,Robertson,Branič,26,30,178,72,Škotska,2017,Hull City,2014,2017
9,Darwin,Núñez,Napadač,9,25,187,81,Urugvaj,2022,Benfica,2020,2022
10,Wataru,Endo,Središnji vezni,3,31,178,77,Japan,2023,VfB Stuttgart,2020,2023
